"PLZ";"Station";"Abholdatum"
8001;"Parkplatz am Hirschengraben 13, vor dem kantonalen Obergericht";"Mo, 18. August 2014"
8002;"Gotthardstrasse / Tessinerplatz";"Di, 2. September 2014"
8003;"Alte evangelische Kirche / Triemlistrasse 2";"Mi, 1. Oktober 2014"
8003;"Gotthardstrasse / Tessinerplatz";"Di, 2. September 2014"
8003;"Helvetiaplatz";"Mo, 29. September 2014"
8003;"Uetlibergstrasse 134";"Mi, 3. September 2014"
8003;"Wasserschöpfi / Küngenmatt (Bad Heuried)";"Do, 4. September 2014"
8004;"Helvetiaplatz";"Mo, 29. September 2014"
8005;"Röntgenplatz";"Sa, 6. September 2014"
8006;"Rigiplatz";"Fr, 3. Oktober 2014"
8008;"Seefeldstrasse 152 / Wertstoff-Sammelstelle";"Di, 16. September 2014"
8032;"Merkurplatz: Minervastrasse / Merkurstrasse";"Do, 21. August 2014"
8037;"Röschibachplatz / Röschibachstrasse 79";"Mi, 17. September 2014"
8038;"Etzelstrasse / Mutschellenstrasse, Wertstoff-Sammelstelle";"Do, 18. September 2014"
8041;"Leimbachstrasse 160 / Klebestrasse, Wertstoff-Sammelstelle";"Mo, 1. September 2014"
8044;"Tramhaltestelle Kirche Fluntern / Zürichbergstrasse 75";"Mi, 20. August 2014"
8045;"Uetlibergstrasse 134";"Mi, 3. September 2014"
8046;"Wehntalerstrasse 539 beim Zehntenhausplatz";"Sa, 4. Oktober 2014"
8047;"Alte evangelische Kirche / Triemlistrasse 2";"Mi, 1. Oktober 2014"
8048;"Lindenplatz";"Di, 19. August 2014"
8049;"Limmattalstrasse 227-229";"Fr, 5. September 2014"
8049;"Limmattalstrasse 227-229";"Sa, 20. September 2014"
8050;"Marktplatz Oerlikon";"Fr, 19. September 2014"
8051;"Schwamendingerplatz";"Mo, 15. September 2014"
8052;"Tramhaltestelle Seebach / Schaffhauserstrasse 501";"Sa, 23. August 2014"
8053;"Witikonerstrasse 390, Parkplatz";"Fr, 22. August 2014"
8055;"Wasserschöpfi / Küngenmatt (Bad Heuried)";"Do, 4. September 2014"
8057;"Milchbuckstrasse 2 / Tramhaltestelle Guggachstrasse";"Do, 2. Oktober 2014"
8064;"Tramhaltestelle Werdhölzli, im Recyclinghof";"Do, 28. August 2014"
